Name AR ammo dynamic
ShortName klishnikovDynamic
Model monolith.to90MM
Texture None
//Colour of icon and model
Colour 255 255 255
ItemID 7070
Icon Blank
//How affected by gravity the bullet is
FallSpeed 0
//The maximum stack size
MaxStackSize 1
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 500

//Size of explosion caused
Explosion 0
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact True
Fuse 100
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass True
//Size of box to check for entities to hit / detonate
HitBoxSize 0.1
//Whether or not the bullet can travel through an entity having hit it
Penetrates True
SmokeTrail True



HitSound sword_hit_heavy
HitSoundRange 15
HitSoundEnable true
EntityHitSoundEnable true


//The damage multiplier caused by the bullet on hitting an entity
DamageVsVehicles 1


DamageVsLiving 100
//replaces damage vs living at "long range"
dynamicDamage 3

bodyArmorPen 300
//replaces body armorpen at "long" range
dynamicBodyArmorPen 100

//how many ticks bullet exists before its considered "long" range
dynamicBulletDelay 3

bleedMultiplier 20
armorPen 9000
PotionEffect 2 240 2
PotionEffect 18 180 1

smokeProtectable true

//classicExplosionRadius 9
//ExplosionBreaksBlocks true

Description has dynamic damage: 100d 300p cqc_3d 100p longrange_20 tick to switch

//HasSubmunitions true
//Submunition klishnikov
//NumSubmunitions 5
//SubmunitionDelay 25
//SubmunitionSpread 40

//papaDrill true
