Name Krupp Shell 95 Pen No Decay 25damage
ShortName KruppPenTest95
Model Bullet
//Colour of icon and model
Colour 255 255 255
Icon Shell
//How affected by gravity the bullet is
FallSpeed 0
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 1
//The maximum stack size of a stack of these
MaxStackSize 12
//The damage multiplier caused by the bullet on hitting an entity
DamageVsVehicles 25
//Size of explosion caused
Explosion 0

//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact True
Fuse 200
FlakParticles 0
FlakParticleType largeexplode
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass True
//Size of box to check for entities to hit / detonate
HitBoxSize 2.0

EntityHitSoundEnable true
//Whether or not the bullet can travel through an entity having hit it
Penetrates False
SmokeTrail True
LockOnToDriveables False
LockOnToPlayers False
LockOnToLivings False
MaxLockOnAngle 0.0
//True if this is a bomb
Bomb False
Shell True
Description 25 damage 95 pen no decay

FlareParticleCount 2
DebrisParticleCount 2

HasLight True
ExplosionBreaksBlocks false

armorPen 95


minorPenSound minorHit
ricochetSound bounceShell
penetrateSound penetratingShell
overPenSound penetratingShell
